Strain_name|origin_geographic_area|origin_locality|origin_habitat|origin_sample_date|temperature|ph|salinity|salinity_unit|latitude|longitude|depth|
>AMTc76|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-source|13/06/1999|85|6,8|23|g/L-NaCl|12°49'51"N|103°58'49"W|2632|
>CIR09a|Indian-ocean||Hydrothermal-chimney||85|6,8|23|g/L-NaCl|25°0'0"S|75°0'0"E||
>E15p3|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>GE31|||||85|6,8|23|g/L NaCl||||
>EXT03c|East-pacific-ridge|EPR-9°N|Hydrothermal-source|26/10/2001|85|6,8|23|g/L-NaCl|9°0'0"N|||
>E12d10|East-pacific-ridge|EPR-9°N|Hydrothermal-chimney|22/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>IRI39b|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|18/06/2001|85|6,8|23|g/L-NaCl|||806|
>AMTc85|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-source|14/06/1999|85|6,8|23|g/L-NaCl|12°50'21"N|103°56'54"W||
>IRI14c|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|16/06/2001|85|6,8|23|g/L-NaCl|36°14'4"N|33°56'18"W|2274|
>E15p26|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>IRI43a|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|09/06/2001|85|6,8|23|g/L-NaCl|36°14'4"N|33°56'18"W|2273|
>IRI53a|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|09/06/2001|85|6,8|23|g/L-NaCl|36°14'4"N|33°56'18"W|2273|
>E15p11|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>E14d2|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>E15p25|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>E15p29|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>E1d7|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|08/06/2001|85|7|20|g/L-NaCl|36°14'4"N|33°56'18"W|2301|
>E10p13|Mid-atlantic-ridge|Menez-Gwen|Hydrothermal-chimney|18/06/2001|85|7|20|g/L-NaCl|||806|
>EXT06c|East-pacific-ridge|EPR-9°N|Hydrothermal-chimney|22/10/2001|85|6,8|23|g/L-NaCl|9°0'0"N|||
>AMTc20|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-source|06/06/1999|85|6,8|23|g/L-NaCl|12°45'0"N|103°59'0"W|2625|
>EXT01c|East-pacific-ridge|EPR-9°N|Hydrothermal-chimney|22/10/2001|85|6,8|23|g/L-NaCl|9°0'0"N|||
>AMTc38|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-source|08/06/1999|85|6,8|23|g/L-NaCl|12°45'0"N|103°59'0"W||
>AMTc24|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-chimney|06/06/1999|85|6,8|23|g/L-NaCl|12°48'12"N|103°56'20"W|2628|
>E13p1|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>AMTc35|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-chimney|08/06/1999|85|6,8|23|g/L-NaCl|12°45'0"N|103°59'0"W||
>IRI01c|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|28/05/2001|85|6,8|23|g/L-NaCl|36°13'41"N|33°53'41"W|2338|
>AMTc73|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-chimney|13/06/1999|85|6,8|23|g/L-NaCl|12°49'51"N|103°56'49"W|2631|
>E15d14|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>EXT04c|East-pacific-ridge|EPR-9°N|Hydrothermal-source|26/10/2001|85|6,8|23|g/L-NaCl|9°0'0"N|||
>AMTc18|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-chimney|05/06/1999|85|6,8|23|g/L-NaCl|12°50'21"N|103°56'54"W|2633|
>E15p8|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>AMTc09|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-chimney|30/05/1999|85|6,8|23|g/L-NaCl|12°48'43"N|103°56'21"W|2597|
>AMTc27|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-invertebrate|06/06/1999|85|6,8|23|g/L-NaCl|12°48'12"N|103°56'20"W|2628|
>EXT11c|East-pacific-ridge|EPR-9°N|Hydrothermal-chimney|24/10/2001|85|6,8|23|g/L-NaCl|9°0'0"N|||
>MC4|Saint-Paul||Hot-spring||80|6,4|30|g/L-NaCl|||0|
>E4d3|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|09/06/2001|85|7|20|g/L-NaCl|36°14'4"N|33°56'18"W|2273|
>E14p14|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>AMTc19|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-chimney|05/06/1999|85|6,8|23|g/L-NaCl|12°50'21"N|103°56'54"W|2633|
>IRI33c|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|16/06/2001|85|6,8|23|g/L-NaCl|36°14'4"N|33°56'18"W|2274|
>E14p19|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>AMTc31|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-chimney|07/06/1999|85|6,8|23|g/L-NaCl|12°49'51"N|103°56'49"W|2626|
>AMTc34|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-chimney|08/06/1999|85|6,8|23|g/L-NaCl|12°45'0"N|103°59'0"W||
>E13p5|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>E2p4|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|08/06/2001|85|7|20|g/L-NaCl|36°14'4"N|33°56'18"W|2301|
>AMTc51|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-chimney|10/06/1999|85|6,8|23|g/L-NaCl|12°45'0"N|103°59'0"W||
>E14p20|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>E4p19|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|09/06/2001|85|7|20|g/L-NaCl|36°14'4"N|33°56'18"W|2273|
>IRI05c|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|16/06/2001|85|6,8|23|g/L-NaCl|36°14'4"N|33°56'18"W|2274|
>E15p31|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>CIR06a|Indian-ocean||Hydrothermal-chimney||85|6,8|23|g/L-NaCl|25°0'0"S|75°0'0"E||
>IRI19c|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|28/05/2001|85|6,8|23|g/L-NaCl|36°13'41"N|33°53'41"W|2338|
>E4p18|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|09/06/2001|85|7|20|g/L-NaCl|36°14'4"N|33°56'18"W|2273|
>E10p15|Mid-atlantic-ridge|Menez-Gwen|Hydrothermal-chimney|18/06/2001|85|7|20|g/L-NaCl|||806|
>CIR02c|Indian-ocean||Hydrothermal-chimney||85|6,8|23|g/L-NaCl|25°0'0"S|75°0'0"E||
>E4d12|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|09/06/2001|85|7|20|g/L-NaCl|36°14'4"N|33°56'18"W|2273|
>IRI51a|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|09/06/2001|85|6,8|23|g/L-NaCl|36°14'4"N|33°56'18"W|2273|
>AMTc83|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-source|14/06/1999|85|6,8|23|g/L-NaCl|12°50'21"N|103°56'54"W||
>E15d16|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>E1d6|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|08/06/2001|85|7|20|g/L-NaCl|36°14'4"N|33°56'18"W|2301|
>AMTc84|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-source|14/06/1999|85|6,8|23|g/L-NaCl|12°50'21"N|103°56'54"W||
>GE26|||||85|7|2,5|%-NaCl|||2000|
